epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8125.37,0.83798,0.4644,0.9523,0.9933,0.99471,0.99015,0.75413,0.8555,0.43227,0.94534,0.000456863,0.000456863,0.000456863
43,8286.05,0.84269,0.46423,0.9568,0.99374,0.99542,0.99087,0.75102,0.85836,0.43335,0.9529,0.00044925,0.00044925,0.00044925
44,8442.88,0.84819,0.46698,0.95005,0.99515,0.99683,0.99291,0.75293,0.86331,0.43172,0.95267,0.000441637,0.000441637,0.000441637
45,8603.27,0.8375,0.45731,0.95215,0.99389,0.99542,0.99098,0.75491,0.85364,0.42969,0.94903,0.000434024,0.000434024,0.000434024
46,8773.37,0.83074,0.45365,0.94708,0.99428,0.99542,0.99048,0.75335,0.85991,0.42867,0.94947,0.000426411,0.000426411,0.000426411
47,8933.93,0.84717,0.45683,0.94887,0.9933,0.99506,0.98996,0.75387,0.85859,0.41947,0.94931,0.000418797,0.000418797,0.000418797
48,9103.54,0.84175,0.45377,0.95284,0.9919,0.99365,0.98921,0.75552,0.85932,0.41845,0.9483,0.000411184,0.000411184,0.000411184
49,9262.76,0.84396,0.45685,0.95094,0.99461,0.99612,0.99258,0.75368,0.86072,0.42834,0.95141,0.000403571,0.000403571,0.000403571
50,9416.23,0.84014,0.4512,0.95173,0.99463,0.99612,0.99223,0.75057,0.85899,0.41831,0.95165,0.000395958,0.000395958,0.000395958
51,9583.39,0.83382,0.45493,0.95145,0.99338,0.99471,0.98924,0.75024,0.86459,0.41862,0.95268,0.000388345,0.000388345,0.000388345
52,9739.22,0.8346,0.4454,0.95419,0.99207,0.9933,0.98814,0.75427,0.85595,0.41248,0.94877,0.000380732,0.000380732,0.000380732
53,9892.26,0.82658,0.44486,0.95805,0.99309,0.99471,0.98982,0.75625,0.85423,0.42061,0.94675,0.000373119,0.000373119,0.000373119
54,10047.9,0.83553,0.43924,0.96096,0.99219,0.994,0.98816,0.75404,0.85583,0.42884,0.94697,0.000365506,0.000365506,0.000365506
55,10199.8,0.82888,0.43701,0.95152,0.99553,0.99683,0.99235,0.75117,0.86111,0.41241,0.95151,0.000357893,0.000357893,0.000357893
56,10367.4,0.83719,0.44116,0.94948,0.99439,0.99569,0.99142,0.75265,0.85976,0.40315,0.94993,0.00035028,0.00035028,0.00035028
57,10535.5,0.82449,0.43604,0.94868,0.99346,0.99486,0.99064,0.75918,0.85296,0.4028,0.94607,0.000342666,0.000342666,0.000342666
58,10695.8,0.84814,0.43608,0.96425,0.99381,0.99542,0.99019,0.75767,0.8538,0.40633,0.94581,0.000335053,0.000335053,0.000335053
59,10848.3,0.82684,0.43464,0.94758,0.99427,0.99612,0.9915,0.75472,0.85855,0.398,0.95055,0.00032744,0.00032744,0.00032744
60,11002.9,0.82453,0.42643,0.94951,0.99483,0.99612,0.99274,0.74963,0.8558,0.40347,0.95036,0.000319827,0.000319827,0.000319827
61,11162,0.82552,0.42553,0.94348,0.99385,0.99542,0.99128,0.75579,0.84838,0.39914,0.94638,0.000312214,0.000312214,0.000312214
62,11321,0.83146,0.43021,0.95086,0.99445,0.99592,0.99179,0.75976,0.85371,0.39851,0.94703,0.000304601,0.000304601,0.000304601
63,11491.1,0.83723,0.42724,0.95553,0.99415,0.99577,0.99104,0.76127,0.84202,0.38832,0.94515,0.000296988,0.000296988,0.000296988
64,11657.6,0.82912,0.423,0.94451,0.99348,0.99506,0.99026,0.76101,0.84352,0.39321,0.94564,0.000289375,0.000289375,0.000289375
65,11811.5,0.82089,0.42401,0.94537,0.99387,0.99506,0.99033,0.75909,0.84963,0.39264,0.94413,0.000281762,0.000281762,0.000281762
66,11976.5,0.82105,0.41511,0.94508,0.99418,0.99577,0.99078,0.75683,0.85123,0.38523,0.9475,0.000274148,0.000274148,0.000274148
67,12134.9,0.82183,0.41615,0.94744,0.99583,0.99718,0.99332,0.75667,0.85321,0.39168,0.94758,0.000266535,0.000266535,0.000266535
68,12288,0.81658,0.41251,0.94218,0.99468,0.99647,0.99263,0.76033,0.84796,0.38542,0.94602,0.000258922,0.000258922,0.000258922
69,12442.5,0.8326,0.4174,0.95016,0.99496,0.99612,0.99237,0.76196,0.84686,0.38653,0.94496,0.000251309,0.000251309,0.000251309
70,12600.3,0.8092,0.40557,0.94433,0.99482,0.99612,0.99215,0.76405,0.8386,0.38099,0.94171,0.000243696,0.000243696,0.000243696
71,12767.9,0.83927,0.41447,0.95855,0.99515,0.99647,0.99315,0.76168,0.8435,0.38462,0.94473,0.000236083,0.000236083,0.000236083
72,12922.5,0.8202,0.4187,0.94519,0.99307,0.99471,0.98972,0.76574,0.8387,0.37926,0.94072,0.00022847,0.00022847,0.00022847
73,13075.8,0.81086,0.40539,0.94222,0.99504,0.99647,0.99267,0.7607,0.84119,0.3766,0.94311,0.000220857,0.000220857,0.000220857
74,13226.1,0.81018,0.40658,0.93582,0.995,0.99647,0.99302,0.76308,0.84139,0.37746,0.9436,0.000213244,0.000213244,0.000213244
75,13379.5,0.81565,0.40878,0.93999,0.99398,0.99542,0.99149,0.76645,0.84085,0.37551,0.94306,0.000205631,0.000205631,0.000205631
76,13530.2,0.81013,0.4034,0.93841,0.99565,0.99718,0.99309,0.76595,0.8366,0.37646,0.94088,0.000198018,0.000198018,0.000198018
77,13680.4,0.81402,0.40522,0.93954,0.99505,0.99647,0.99257,0.76295,0.85156,0.37852,0.94811,0.000190404,0.000190404,0.000190404
78,13832.7,0.79955,0.39818,0.93976,0.99439,0.99577,0.99161,0.76842,0.83946,0.37292,0.94197,0.000182791,0.000182791,0.000182791
79,13984.5,0.81308,0.40084,0.95059,0.99438,0.99577,0.99215,0.76978,0.83302,0.36643,0.93981,0.000175178,0.000175178,0.000175178
80,14137.2,0.79255,0.39402,0.93227,0.99502,0.99612,0.99292,0.76691,0.836,0.36868,0.94221,0.000167565,0.000167565,0.000167565
81,14290.3,0.79979,0.39195,0.94234,0.99503,0.99647,0.99298,0.76812,0.83531,0.36673,0.94091,0.000159952,0.000159952,0.000159952
82,14444.7,0.80582,0.39345,0.94235,0.99474,0.99612,0.99209,0.76689,0.8376,0.3691,0.9423,0.000152339,0.000152339,0.000152339
83,14598.7,0.80664,0.39929,0.94266,0.99485,0.99647,0.9924,0.76896,0.83657,0.3644,0.94081,0.000144726,0.000144726,0.000144726
84,14751.6,0.8,0.3908,0.9377,0.99495,0.99647,0.99275,0.7724,0.82885,0.36344,0.9377,0.000137113,0.000137113,0.000137113
85,14906.4,0.80353,0.39316,0.94182,0.9948,0.99647,0.99249,0.77089,0.83102,0.36674,0.93811,0.0001295,0.0001295,0.0001295
86,15149.3,0.79574,0.38985,0.93691,0.99446,0.99577,0.99121,0.76997,0.83485,0.36437,0.93808,0.000121887,0.000121887,0.000121887
87,15306.6,0.8031,0.39547,0.94392,0.99485,0.99647,0.99299,0.76994,0.83278,0.36313,0.93875,0.000114273,0.000114273,0.000114273
88,15464.4,0.80294,0.39151,0.93543,0.99506,0.99647,0.9924,0.77077,0.83056,0.3611,0.93779,0.00010666,0.00010666,0.00010666
89,15623.3,0.80253,0.39353,0.93794,0.9951,0.99647,0.9927,0.7698,0.83329,0.36176,0.94016,9.90472e-05,9.90472e-05,9.90472e-05
90,15784.2,0.79209,0.38696,0.93531,0.99504,0.99624,0.99271,0.77135,0.82869,0.35696,0.93825,9.14341e-05,9.14341e-05,9.14341e-05
91,15953.3,0.83305,0.4094,0.96044,0.99367,0.99506,0.99034,0.76909,0.83674,0.37553,0.93779,8.3821e-05,8.3821e-05,8.3821e-05
92,16109.1,0.82389,0.39569,0.94973,0.99502,0.99647,0.99288,0.76609,0.83457,0.36803,0.93957,7.62079e-05,7.62079e-05,7.62079e-05
93,16263.1,0.82444,0.38955,0.95057,0.99423,0.99593,0.99246,0.76709,0.8269,0.3712,0.93702,6.85948e-05,6.85948e-05,6.85948e-05
94,16412.9,0.81846,0.39127,0.93882,0.99494,0.99647,0.99283,0.7645,0.82868,0.36696,0.93782,6.09817e-05,6.09817e-05,6.09817e-05
95,16568.8,0.81905,0.38308,0.94286,0.99493,0.99647,0.99303,0.76544,0.82799,0.36524,0.9381,5.33686e-05,5.33686e-05,5.33686e-05
96,16730.2,0.82397,0.38132,0.95849,0.99394,0.99542,0.99188,0.76605,0.82619,0.36116,0.93702,4.57555e-05,4.57555e-05,4.57555e-05
97,16891,0.81703,0.37957,0.95552,0.99399,0.99542,0.99197,0.76655,0.82636,0.36008,0.93741,3.81424e-05,3.81424e-05,3.81424e-05
98,17049.9,0.81784,0.37843,0.94942,0.99471,0.99612,0.99273,0.76579,0.83,0.36168,0.93908,3.05293e-05,3.05293e-05,3.05293e-05
99,17222.5,0.81864,0.377,0.95315,0.99472,0.99612,0.99264,0.76596,0.82873,0.36033,0.93822,2.29162e-05,2.29162e-05,2.29162e-05
100,17402.2,0.82141,0.37656,0.95487,0.99476,0.99612,0.99254,0.7683,0.82529,0.35849,0.93678,1.53031e-05,1.53031e-05,1.53031e-05
