frame_number,object_class,confidence_score,x1,y1,x2,y2
1,monitor,0.9525418281555176,119.42538452148438,269.64892578125,1023.5804443359375,953.2796630859375
1,water_bottle,0.9259985685348511,63.36785888671875,625.732666015625,281.22393798828125,1188.3385009765625
1,laptop,0.9230411648750305,183.41595458984375,1074.580322265625,940.6140747070312,1314.3746337890625
1,keyboard,0.8830410838127136,245.43072509765625,990.781982421875,963.7728881835938,1125.39599609375
1,mouse,0.8816936612129211,850.4454345703125,1099.810791015625,1049.9798583984375,1250.2259521484375
1,airpod_case,0.7812104225158691,36.926116943359375,1147.119873046875,213.35202026367188,1252.2125244140625
1,keys,0.48663368821144104,39.33106231689453,1346.8748779296875,289.4296875,1431.7713623046875
1,guitar_pick,0.37109827995300293,62.1234016418457,1285.9588623046875,165.13856506347656,1349.4949951171875
1,mechanical_pencil,0.3383757472038269,572.1243896484375,1283.099853515625,936.77197265625,1380.0274658203125
2,monitor,0.9527551531791687,116.75687408447266,270.47607421875,1023.2747192382812,953.071533203125
2,water_bottle,0.9173561930656433,63.11155700683594,624.7581787109375,281.54022216796875,1189.063232421875
2,laptop,0.9212794899940491,182.0636749267578,1074.0426025390625,940.8033447265625,1315.0267333984375
2,keyboard,0.8907997012138367,255.0994415283203,991.4284057617188,962.9234619140625,1124.8607177734375
2,mouse,0.8907085657119751,850.4234619140625,1100.65185546875,1049.749267578125,1250.466796875
2,airpod_case,0.7755908966064453,36.24602127075195,1147.932861328125,212.96791076660156,1253.1806640625
2,keys,0.4432940185070038,39.11620330810547,1347.2235107421875,292.94097900390625,1432.381591796875
2,guitar_pick,0.3998415172100067,61.38353729248047,1286.7841796875,164.98313903808594,1349.34814453125
2,mechanical_pencil,0.3493078351020813,567.5595092773438,1285.126953125,937.4905395507812,1377.9263916015625
3,monitor,0.9520306587219238,116.9422607421875,270.8669128417969,1023.1575927734375,952.525634765625
3,water_bottle,0.9173905253410339,62.858970642089844,623.5855712890625,282.7246398925781,1188.7166748046875
3,laptop,0.9203343987464905,182.0166015625,1073.907470703125,940.8933715820312,1315.1375732421875
3,keyboard,0.8878783583641052,259.512451171875,991.6392822265625,962.6963500976562,1124.935546875
3,mouse,0.8879940509796143,850.4774780273438,1100.762451171875,1049.5191650390625,1250.566162109375
3,airpod_case,0.7914400100708008,36.5650520324707,1148.05419921875,213.0277557373047,1253.053466796875
3,keys,0.45803895592689514,39.269622802734375,1347.3370361328125,292.8126220703125,1432.3603515625
3,guitar_pick,0.3874841034412384,61.11561965942383,1287.1634521484375,165.31895446777344,1348.9775390625
3,mechanical_pencil,0.37682807445526123,566.3915405273438,1285.6112060546875,937.1795654296875,1377.3682861328125
4,monitor,0.9516420960426331,117.57084655761719,271.0422058105469,1023.00244140625,952.2984008789062
4,water_bottle,0.9180154204368591,62.891578674316406,623.0270385742188,283.1346130371094,1188.503173828125
4,laptop,0.9215846061706543,182.01681518554688,1073.807373046875,940.8734130859375,1315.0986328125
4,keyboard,0.8873577117919922,260.7945251464844,991.660888671875,963.1556396484375,1124.8123779296875
4,mouse,0.8865454196929932,850.3372192382812,1100.3016357421875,1049.47265625,1250.4527587890625
4,airpod_case,0.7907166481018066,37.00133514404297,1148.184814453125,213.08204650878906,1252.918212890625
4,keys,0.47827309370040894,39.246273040771484,1347.45458984375,292.42840576171875,1432.0810546875
4,guitar_pick,0.3759852945804596,61.07390594482422,1287.00634765625,165.3815155029297,1348.7528076171875
4,mechanical_pencil,0.37461695075035095,566.12255859375,1285.801513671875,937.021484375,1377.2127685546875
5,monitor,0.9517011642456055,117.37113189697266,271.22857666015625,1022.9290771484375,952.2304077148438
5,water_bottle,0.9173977375030518,63.140933990478516,622.3378295898438,283.177734375,1188.3858642578125
5,laptop,0.9226067066192627,182.08372497558594,1073.7291259765625,940.8627319335938,1314.8822021484375
5,keyboard,0.885763943195343,260.17889404296875,991.5311889648438,963.4766235351562,1124.9268798828125
5,mouse,0.8894107937812805,850.6935424804688,1100.650634765625,1049.5406494140625,1250.269775390625
5,airpod_case,0.7865632772445679,36.79581832885742,1148.03662109375,213.15098571777344,1252.6070556640625
5,keys,0.6062788963317871,38.896034240722656,1346.894775390625,288.76116943359375,1431.905517578125
5,guitar_pick,0.36618223786354065,61.46281433105469,1286.7376708984375,165.38002014160156,1348.57177734375
5,mechanical_pencil,0.3776821196079254,566.2373046875,1285.798828125,936.6770629882812,1377.558837890625
6,monitor,0.9522695541381836,117.3326644897461,271.2236328125,1022.9447021484375,952.3965454101562
6,water_bottle,0.9170677661895752,63.41803741455078,622.1356201171875,283.3664855957031,1188.1617431640625
6,laptop,0.9204744100570679,182.1437530517578,1073.7449951171875,940.8126831054688,1314.8125
6,keyboard,0.8840101957321167,258.8424377441406,991.466796875,963.4791870117188,1124.6864013671875
6,mouse,0.8918164372444153,850.7555541992188,1100.660400390625,1049.34765625,1249.9508056640625
6,airpod_case,0.7935641407966614,36.54288864135742,1147.928955078125,213.12269592285156,1252.2186279296875
6,keys,0.592847466468811,39.00334167480469,1346.74755859375,287.3009948730469,1431.52734375
6,guitar_pick,0.3673612177371979,61.32829666137695,1285.9747314453125,165.84304809570312,1348.494384765625
6,mechanical_pencil,0.3161976933479309,568.0853881835938,1285.9176025390625,937.135009765625,1377.2342529296875
7,monitor,0.9510562419891357,116.94554138183594,271.2374267578125,1022.8191528320312,952.4552612304688
7,water_bottle,0.9174812436103821,63.67890548706055,623.8155517578125,282.2732849121094,1188.060302734375
7,laptop,0.9199985861778259,182.30445861816406,1073.622802734375,940.9508666992188,1314.5936279296875
7,keyboard,0.886345624923706,255.69549560546875,991.3809204101562,963.3970947265625,1124.835205078125
7,mouse,0.8902272582054138,850.67822265625,1100.7320556640625,1049.2696533203125,1249.734375
7,airpod_case,0.7941235303878784,36.568851470947266,1147.9271240234375,213.33619689941406,1251.94921875
7,keys,0.5702575445175171,39.07088851928711,1346.56005859375,287.3036193847656,1431.21240234375
7,guitar_pick,0.3451547622680664,60.995025634765625,1285.6673583984375,166.01510620117188,1348.1644287109375
7,mechanical_pencil,0.3121908903121948,568.7932739257812,1285.93408203125,937.3569946289062,1377.1961669921875
8,monitor,0.9508054852485657,116.87806701660156,271.2236022949219,1022.786865234375,952.5380859375
8,water_bottle,0.9182495474815369,63.243648529052734,622.6893310546875,282.6334228515625,1187.8822021484375
8,laptop,0.9199525713920593,182.43556213378906,1073.55859375,941.0418701171875,1314.549560546875
8,keyboard,0.8855472803115845,255.6363983154297,991.6342163085938,963.58251953125,1124.894287109375
8,mouse,0.8936949968338013,850.6643676757812,1100.7620849609375,1049.259521484375,1249.626953125
8,airpod_case,0.7877730131149292,36.6749153137207,1148.103271484375,212.9059295654297,1251.8056640625
8,keys,0.5850133895874023,39.055580139160156,1346.5506591796875,286.9669189453125,1431.138427734375
8,guitar_pick,0.33743879199028015,61.168182373046875,1285.7537841796875,166.00119018554688,1348.339111328125
8,mechanical_pencil,0.3349847197532654,568.9677734375,1286.009765625,937.462158203125,1377.0870361328125
9,monitor,0.9503162503242493,116.71255493164062,271.2309265136719,1022.76416015625,952.5751342773438
9,water_bottle,0.9189208745956421,63.18547439575195,622.247802734375,282.75555419921875,1187.9510498046875
9,laptop,0.9200699329376221,182.28060913085938,1073.4781494140625,941.18701171875,1314.6312255859375
9,keyboard,0.8854487538337708,255.02212524414062,991.81689453125,963.3272705078125,1125.06591796875
9,mouse,0.8923211693763733,850.6737060546875,1100.9229736328125,1049.3212890625,1249.72607421875
9,airpod_case,0.7933840155601501,36.4766845703125,1148.322998046875,212.64125061035156,1252.1854248046875
9,keys,0.5697916150093079,39.0948486328125,1346.95263671875,286.5903015136719,1431.3604736328125
9,guitar_pick,0.3682457208633423,61.4853401184082,1286.4034423828125,165.72471618652344,1348.45263671875
9,mechanical_pencil,0.354183554649353,569.0313110351562,1285.9205322265625,937.5802001953125,1376.96240234375
10,monitor,0.950772762298584,116.78981018066406,271.2677307128906,1022.8303833007812,952.5321655273438
10,water_bottle,0.9212774634361267,62.4089469909668,621.8326416015625,282.9821472167969,1188.0201416015625
10,laptop,0.9233524203300476,182.03721618652344,1073.5599365234375,940.9722900390625,1314.869140625
10,keyboard,0.8887419700622559,259.5587158203125,991.9308471679688,962.9540405273438,1125.0469970703125
